Date,Water_Elev
6/9/1980,716
6/13/1980,715.8
7/10/1980,711.6
8/4/1980,709.8
8/27/1980,706.2
9/15/1980,704.3
9/30/1980,702.4
10/16/1980,700.6
10/31/1980,699.9
11/17/1980,699.2
12/1/1980,698.8
12/4/1980,704.9
12/10/1980,705.4
12/18/1980,705.1
12/29/1980,704.9
1/9/1981,704.5
1/16/1981,704.3
1/23/1981,705.9
1/29/1981,717.4
2/6/1981,716.7
2/12/1981,716.4
2/19/1981,716.9
2/27/1981,716.6
3/6/1981,716.6
3/12/1981,716.5
3/21/1981,717.1
3/26/1981,717.3
4/2/1981,716.7
4/9/1981,716.3
4/16/1981,715.9
4/23/1981,715.7
5/4/1981,714.6
5/7/1981,714.4
5/14/1981,713.7
5/21/1981,713.1
5/28/1981,712.4
6/5/1981,711.5
6/11/1981,710.6
6/20/1981,709.5
6/25/1981,708.5
7/5/1981,706.8
7/11/1981,706
7/17/1981,705.2
7/23/1981,704.3
7/31/1981,703
8/9/1981,702.7
8/16/1981,701.9
8/26/1981,699.6
9/4/1981,698.6
9/20/1981,695.5
9/27/1981,695.3
10/23/1981,692.7
10/29/1981,693
11/5/1981,692.7
11/13/1981,692.7
11/19/1981,701.7
11/25/1981,712.1
11/30/1981,714
12/3/1981,714.3
12/4/1981,714.3
12/7/1981,710.2
12/11/1981,710.5
12/14/1981,710.9
12/17/1981,711.6
12/21/1981,719.6
12/22/1981,717.4
12/23/1981,716.4
12/28/1981,717.2
12/30/1981,718.1
1/29/1982,721.7
2/1/1982,722
5/3/1982,721.71
5/5/1982,721.66
5/7/1982,721.5
5/10/1982,721.3
5/12/1982,721.2
5/14/1982,721.1
5/18/1982,720.7
5/20/1982,720.6
5/24/1982,720.2
5/26/1982,720
5/28/1982,719.8
6/1/1982,719.4
6/4/1982,719.1
6/7/1982,718.9
6/11/1982,718.5
6/14/1982,718.3
6/16/1982,718.1
6/18/1982,717.8
6/21/1982,717.7
6/23/1982,717.4
6/25/1982,717.2
6/30/1982,716.8
7/2/1982,716.6
7/7/1982,716
7/9/1982,715.8
7/13/1982,715.3
7/16/1982,715
7/23/1982,714.2
7/30/1982,713.4
8/6/1982,712.6
8/13/1982,711.7
8/20/1982,710.9
8/27/1982,710.2
9/3/1982,709.3
9/10/1982,708.6
9/17/1982,707.9
9/24/1982,707.4
9/27/1982,703.5
9/29/1982,703.3
10/1/1982,703.2
10/4/1982,702.9
10/6/1982,702.7
10/8/1982,702.5
10/11/1982,702.2
10/13/1982,702
10/15/1982,701.7
10/18/1982,701.5
10/25/1982,701.1
11/1/1982,702.1
11/8/1982,701.8
11/15/1982,701.6
11/23/1982,707
11/29/1982,711.2
12/3/1982,716.6
12/6/1982,717.1
12/9/1982,717.2
12/13/1982,717.1
12/16/1982,717.1
12/20/1982,717.6
12/22/1982,720.1
12/27/1982,718
12/30/1982,717.5
1/3/1983,717.3
1/6/1983,717.2
1/10/1983,717.1
1/13/1983,717.1
1/17/1983,717
1/20/1983,718.3
1/24/1983,722.4
1/27/1983,722.6
1/31/1983,721
2/3/1983,717.4
2/8/1983,718.5
2/11/1983,718
2/14/1983,719.3
2/17/1983,718.3
2/22/1983,718
2/25/1983,719.1
2/28/1983,722.3
3/3/1983,722.4
3/7/1983,722.3
3/10/1983,722
3/14/1983,722.3
3/18/1983,722.3
3/21/1983,722.1
3/24/1983,722.3
3/28/1983,722.1
3/31/1983,722.1
4/4/1983,722
4/7/1983,721.9
4/11/1983,721.8
4/14/1983,721.8
4/18/1983,721.7
4/22/1983,721.8
4/26/1983,722
4/27/1983,722
5/2/1983,722
5/9/1983,721.9
5/12/1983,722
5/17/1983,721.8
5/19/1983,721.7
5/23/1983,721.5
5/26/1983,721.3
5/31/1983,721
6/3/1983,720.8
6/6/1983,720.4
6/9/1983,720.1
6/13/1983,719.8
6/16/1983,719.5
6/20/1983,719.2
6/23/1983,718.6
7/14/1983,716.2
7/18/1983,715.7
7/21/1983,715.4
7/26/1983,714.8
7/28/1983,714.6
8/9/1983,713
8/17/1983,711.9
8/23/1983,711.3
8/30/1983,710.5
9/7/1983,709.6
9/20/1983,707.9
10/4/1983,706.5
10/19/1983,705.1
11/2/1983,703.9
11/15/1983,711
11/23/1983,717.7
12/1/1983,717.7
12/7/1983,718.1
12/14/1983,718.8
12/21/1983,717.4
12/27/1983,720.6
1/6/1984,717.6
1/11/1984,717.4
1/16/1984,717
1/24/1984,716.7
1/31/1984,716.6
2/7/1984,716.4
2/14/1984,717.1
2/23/1984,718.9
2/28/1984,719.4
3/6/1984,718.9
3/9/1984,718.8
3/15/1984,719.5
3/19/1984,720.9
3/23/1984,721.2
3/28/1984,721.2
4/4/1984,720.9
4/6/1984,720.8
4/10/1984,720.6
4/13/1984,720.5
4/17/1984,720.3
4/19/1984,720.3
4/25/1984,720
4/27/1984,719.9
5/1/1984,719.6
5/4/1984,719.5
5/8/1984,719.2
5/11/1984,718.9
5/15/1984,718.4
5/18/1984,718.1
5/22/1984,717.6
5/25/1984,717.5
6/1/1984,716.5
6/8/1984,715.7
6/12/1984,715.2
6/21/1984,714.2
6/26/1984,713.5
7/3/1984,712.5
7/11/1984,711.2
7/18/1984,710
7/31/1984,708.1
8/14/1984,705.8
8/29/1984,703.4
9/12/1984,701.2
10/2/1984,698
11/19/1984,701.8
12/19/1984,710.2
1/2/1985,710.3
1/11/1985,710.9
1/17/1985,711
1/23/1985,711
1/29/1985,710.8
2/12/1985,718.1
2/15/1985,718.3
2/19/1985,718.4
2/22/1985,718.4
2/28/1985,718.2
3/6/1985,718
3/12/1985,718.7
3/18/1985,718.8
4/2/1985,722
4/24/1985,720.7
5/2/1985,720
5/10/1985,719.3
5/16/1985,718.7
5/21/1985,718.3
5/24/1985,717.9
5/30/1985,717.4
6/10/1985,716.3
6/19/1985,714.9
6/27/1985,713.7
7/3/1985,712.9
7/11/1985,711.6
7/16/1985,711
7/23/1985,710.1
8/7/1985,707.9
8/21/1985,706
9/5/1985,703.9
9/20/1985,702.4
10/2/1985,701
11/8/1985,697.4
12/27/1985,700.4
2/4/1986,717.5
2/14/1986,723.8
2/24/1986,721.7
3/20/1986,722.1
4/18/1986,721.3
5/28/1986,718
6/25/1986,714.9
7/24/1986,710.8
8/27/1986,706.3
9/23/1986,702.5
10/23/1986,699.6
11/14/1986,697.9
12/17/1986,696.5
1/16/1987,695.5
2/25/1987,704
3/26/1987,710.7
4/22/1987,708.8
5/22/1987,705.1
6/30/1987,699.4
7/29/1987,695.7
8/31/1987,690
9/30/1987,685.5
10/30/1987,682.1
11/19/1987,681.1
12/28/1987,702.9
1/29/1988,718.2
2/29/1988,718.4
3/22/1988,717.2
4/25/1988,714.8
5/19/1988,713.3
6/27/1988,709.4
7/20/1988,706.1
11/30/1988,694.4
12/29/1988,696.2
1/30/1989,697
2/28/1989,696.5
3/30/1989,722
4/11/1989,721.9
5/9/1989,720.7
6/23/1989,717.6
7/28/1989,715.1
8/31/1989,710.8
9/27/1989,708.1
10/31/1989,707.3
11/16/1989,706.8
12/28/1989,706.6
3/30/1990,715
5/31/1990,713.6
6/30/1990,711.5
7/31/1990,708.9
8/31/1990,705.7
9/28/1990,702.6
10/30/1990,697.4
11/29/1990,696.7
12/31/1990,694.9
1/31/1991,693.3
2/26/1991,693.2
4/29/1991,721.3
5/23/1991,719.6
6/26/1991,716.5
8/7/1991,712.2
8/26/1991,711.1
9/30/1991,707.1
10/30/1991,703.2
11/27/1991,702.3
12/31/1991,701.5
1/31/1992,701.9
2/27/1992,718.8
3/31/1992,722
5/11/1992,719.7
5/29/1992,717.7
6/29/1992,715.1
7/30/1992,711.7
8/27/1992,708.7
9/30/1992,704.7
10/30/1992,701.9
11/23/1992,701.4
12/31/1992,701.5
1/28/1993,722
2/24/1993,722
4/29/1993,721
5/28/1993,719.1
6/30/1993,716.9
7/30/1993,713.1
8/23/1993,709.8
9/29/1993,705.5
10/27/1993,703.3
11/28/1993,700.1
12/29/1993,704.6
1/26/1994,705.8
2/25/1994,713.3
3/29/1994,713.1
4/27/1994,711.6
5/31/1994,709.7
7/1/1994,705.8
8/31/1994,698.9
9/28/1994,696
10/28/1994,694.4
11/30/1994,696.6
12/30/1994,702.4
1/30/1995,722
2/28/1995,721.9
3/29/1995,722
4/26/1995,721.7
5/30/1995,721.3
6/28/1995,719.4
8/28/1995,712.9
9/26/1995,709.9
10/27/1995,707.5
11/29/1995,704.9
12/31/1995,715.8
1/30/1996,722.1
2/28/1996,722
3/27/1996,721.8
4/30/1996,721.7
5/31/1996,721.6
6/26/1996,719.2
7/31/1996,715.6
8/30/1996,708.9
11/26/1996,707.6
12/19/1996,719.5
1/24/1997,722.2
2/28/1997,721.7
3/25/1997,721
4/29/1997,719.2
5/23/1997,717.2
7/25/1997,710.5
9/24/1997,703
10/30/1997,699.8
11/25/1997,700.5
12/24/1997,709
1/28/1998,722
3/24/1998,722
4/27/1998,722
5/29/1998,721.8
6/29/1998,720.9
7/23/1998,718.9
8/27/1998,715.1
9/30/1998,711.1
10/26/1998,708.8
11/24/1998,708.8
12/8/1998,718.3
1/28/1999,721.5
2/25/1999,722.1
3/25/1999,722.2
4/29/1999,721.5
5/27/1999,719.6
6/28/1999,716.6
7/29/1999,713.1
8/25/1999,709.8
9/27/1999,705.5
10/25/1999,702.2
11/29/1999,701.3
12/15/1999,701.7
1/27/2000,707.8
2/24/2000,722.2
3/31/2000,721.4
4/26/2000,720.7
5/26/2000,719.2
8/25/2000,708.2
9/5/2000,707
9/29/2000,703.6
10/30/2000,701.3
11/27/2000,700.5
12/29/2000,700.3
1/30/2001,706.9
2/28/2001,722.2
3/29/2001,721.7
4/26/2001,720.4
5/31/2001,717.1
6/29/2001,713.4
7/27/2001,709.6
8/31/2001,704.6
9/27/2001,701
10/29/2001,696.8
11/26/2001,700
12/28/2001,722.2
1/29/2002,722
2/28/2002,722
4/1/2002,721.96
4/29/2002,720.49
5/29/2002,718.52
6/28/2002,715.11
7/31/2002,710.7
8/29/2002,706.88
9/26/2002,702.9
10/31/2002,698.57
11/26/2002,698.52
12/31/2002,722.58
1/29/2003,722.1
2/27/2003,722.01
3/27/2003,721.95
4/28/2003,722.06
5/28/2003,720.98
6/26/2003,718.31
8/1/2003,713.85
8/28/2003,710.1
9/29/2003,705.21
11/26/2003,699.72
12/24/2003,713.2
1/30/2004,721.55
2/27/2004,722.31
3/30/2004,721.15
4/30/2004,718.32
6/30/2004,711.6
7/29/2004,708
8/31/2004,703.8
9/30/2004,699.45
10/??/2004,700.8
10/29/2004,698.05
12/1/2004,698.25
12/30/2004,715.69
1/28/2005,721.8
2/28/2005,722.37
