,,PP,PP,PP,PP,PP,PP,PP,PP,PP,PP,MW,MW,MW,MW,MW
Date,Water_Elev,1A,2A,3A,3B,4A,4B,6A,6B,9A,10A,PH11,PH12,PH13,PH14,P19B
6/9/1980,416,187,122,138,22,173,44,64,22,16,64,,,,,
6/13/1980,415.8,186,122,139,23,173,46,64,20,17,64,,,,,
7/10/1980,411.6,174,116,138,22,172,44,64,22,17,62,,,,,
8/4/1980,409.8,156,113,136,20,122,46,67,24,17,58,,,,,
8/27/1980,406.2,138,104,132,17,171,46,66,24,18,54,,,,,
9/15/1980,404.3,124,99,130,16,172,48,68,25,18,52,,,,,
9/30/1980,402.4,110,99,124,15,170,47,70,23,14,45,,,,,
10/16/1980,400.6,97,86,126,15,170,47,68,26,19,47,,,,,
10/31/1980,399.9,92,78,123,15,169,44,66,25,18,44,,,,,
11/17/1980,399.2,86,75,122,16,169,44,65,25,19,42,,,,,
12/1/1980,398.8,86,75,122,16,169,45,66,26,19,42,,,,,
12/4/1980,404.9,127,78,124,86,170,45,68,25,20,42,,,,,
12/10/1980,405.4,130,75,125,49,170,44,74,22,20,44,,,,,
12/18/1980,405.1,129,78,127,34,170,45,67,28,19,48,,,,,
12/29/1980,404.9,128,78,128,22,171,45,66,25,20,48,,,,,
1/9/1981,404.5,126,80,128,20,170,44,67,28,20,48,,,,,
1/16/1981,404.3,124,81,128,19,170,45,68,29,20,49,,,,,
1/23/1981,405.9,135,81,129,85,170,45,68,30,20,49,,,,,
1/29/1981,417.4,204,94,135,84,173,47,70,27,20,57,,,,,
2/6/1981,416.7,201,102,135,54,172,42,68,25,19,61,,,,,
2/12/1981,416.4,200,106,136,45,172,45,67,24,19,61,,,,,
2/19/1981,416.9,204,112,137,66,170,45,68,25,16,60,,,,,
2/27/1981,416.6,202,116,138,50,170,47,70,27,19,64,,,,,
3/6/1981,416.6,201,118,138,66,170,46,70,26,18,64,,,,,
3/12/1981,416.5,200,118,138,51,170,45,68,25,19,64,,,,,
3/21/1981,417.1,203,120,138,84,171,46,69,26,19,64,,,,,
3/26/1981,417.3,204,126,139,85,171,46,69,26,19,67,,,,,
4/2/1981,416.7,201,125,140,62,171,46,69,26,19,67,,,,,
4/9/1981,416.3,196,121,139,48,171,44,68,26,18,65,,,,,
